,Text 1,Text 2,Link Count,Tractate,Seder
0,Berakhot,Mishnah Berakhot,85,Berakhot,Zeraim
1,Berakhot,Tosefta Berakhot,149,Berakhot,Zeraim
2,Berakhot,Jerusalem Talmud Berakhot,260,Berakhot,Zeraim
3,Berakhot,Berakhot,85,Berakhot,Zeraim
4,Berakhot,Berakhot,85,Berakhot,Zeraim
5,Berakhot,Tosefta Peah,1,Peah,Zeraim
6,Berakhot,Jerusalem Talmud Peah,4,Peah,Zeraim
7,Berakhot,Mishnah Demai,1,Demai,Zeraim
8,Berakhot,Tosefta Demai,3,Demai,Zeraim
9,Berakhot,Jerusalem Talmud Demai,1,Demai,Zeraim
10,Berakhot,Tosefta Kilayim,1,Kilayim,Zeraim
11,Berakhot,Jerusalem Talmud Kilayim,7,Kilayim,Zeraim
12,Berakhot,Mishnah Sheviit,1,Sheviit,Zeraim
13,Berakhot,Tosefta Sheviit,1,Sheviit,Zeraim
14,Berakhot,Jerusalem Talmud Sheviit,4,Sheviit,Zeraim
15,Berakhot,Mishnah Terumot,5,Terumot,Zeraim
16,Berakhot,Tosefta Terumot,7,Terumot,Zeraim
17,Berakhot,Jerusalem Talmud Terumot,2,Terumot,Zeraim
18,Berakhot,Mishnah Maasrot,1,Maasrot,Zeraim
19,Berakhot,Jerusalem Talmud Maasrot,4,Maasrot,Zeraim
20,Berakhot,Mishnah Maaser Sheni,1,Maaser Sheni,Zeraim
21,Berakhot,Tosefta Maaser Sheni,2,Maaser Sheni,Zeraim
22,Berakhot,Jerusalem Talmud Maaser Sheni,6,Maaser Sheni,Zeraim
23,Berakhot,Tosefta Challah,1,Challah,Zeraim
24,Berakhot,Jerusalem Talmud Challah,7,Challah,Zeraim
25,Berakhot,Mishnah Orlah,2,Orlah,Zeraim
26,Berakhot,Tosefta Orlah,1,Orlah,Zeraim
27,Berakhot,Jerusalem Talmud Orlah,4,Orlah,Zeraim
28,Berakhot,Mishnah Bikkurim,1,Bikkurim,Zeraim
29,Berakhot,Tosefta Bikkurim,1,Bikkurim,Zeraim
30,Berakhot,Jerusalem Talmud Bikkurim,5,Bikkurim,Zeraim
31,Berakhot,Mishnah Shabbat,2,Shabbat,Moed
32,Berakhot,Tosefta Shabbat,4,Shabbat,Moed
33,Berakhot,Jerusalem Talmud Shabbat,12,Shabbat,Moed
34,Berakhot,Shabbat,54,Shabbat,Moed
35,Berakhot,Mishnah Eruvin,1,Eruvin,Moed
36,Berakhot,Jerusalem Talmud Eruvin,2,Eruvin,Moed
37,Berakhot,Eruvin,39,Eruvin,Moed
38,Berakhot,Mishnah Pesachim,9,Pesachim,Moed
39,Berakhot,Tosefta Pesachim,5,Pesachim,Moed
40,Berakhot,Jerusalem Talmud Pesachim,7,Pesachim,Moed
41,Berakhot,Pesachim,61,Pesachim,Moed
42,Berakhot,Jerusalem Talmud Yoma,2,Yoma,Moed
43,Berakhot,Yoma,26,Yoma,Moed
44,Berakhot,Mishnah Sukkah,1,Sukkah,Moed
45,Berakhot,Jerusalem Talmud Sukkah,6,Sukkah,Moed
46,Berakhot,Sukkah,30,Sukkah,Moed
47,Berakhot,Tosefta Beitzah,3,Beitzah,Moed
48,Berakhot,Jerusalem Talmud Beitzah,2,Beitzah,Moed
49,Berakhot,Beitzah,3,Beitzah,Moed
50,Berakhot,Mishnah Rosh Hashanah,2,Rosh Hashanah,Moed
51,Berakhot,Jerusalem Talmud Rosh Hashanah,2,Rosh Hashanah,Moed
52,Berakhot,Rosh Hashanah,9,Rosh Hashanah,Moed
53,Berakhot,Jerusalem Talmud Taanit,18,Taanit,Moed
54,Berakhot,Taanit,17,Taanit,Moed
55,Berakhot,Mishnah Megillah,2,Megillah,Moed
56,Berakhot,Tosefta Megillah,4,Megillah,Moed
57,Berakhot,Jerusalem Talmud Megillah,10,Megillah,Moed
58,Berakhot,Megillah,32,Megillah,Moed
59,Berakhot,Jerusalem Talmud Moed Katan,6,Moed Katan,Moed
60,Berakhot,Moed Katan,8,Moed Katan,Moed
61,Berakhot,Tosefta Chagigah,1,Chagigah,Moed
62,Berakhot,Chagigah,11,Chagigah,Moed
63,Berakhot,Mishnah Yevamot,1,Yevamot,Nashim
64,Berakhot,Tosefta Yevamot,2,Yevamot,Nashim
65,Berakhot,Jerusalem Talmud Yevamot,3,Yevamot,Nashim
66,Berakhot,Yevamot,20,Yevamot,Nashim
67,Berakhot,Mishnah Ketubot,2,Ketubot,Nashim
68,Berakhot,Jerusalem Talmud Ketubot,1,Ketubot,Nashim
69,Berakhot,Ketubot,22,Ketubot,Nashim
70,Berakhot,Mishnah Nedarim,3,Nedarim,Nashim
71,Berakhot,Nedarim,7,Nedarim,Nashim
72,Berakhot,Mishnah Nazir,1,Nazir,Nashim
73,Berakhot,Jerusalem Talmud Nazir,1,Nazir,Nashim
74,Berakhot,Nazir,3,Nazir,Nashim
75,Berakhot,Mishnah Sotah,7,Sotah,Nashim
76,Berakhot,Tosefta Sotah,6,Sotah,Nashim
77,Berakhot,Jerusalem Talmud Sotah,6,Sotah,Nashim
78,Berakhot,Sotah,27,Sotah,Nashim
79,Berakhot,Gittin,13,Gittin,Nashim
80,Berakhot,Tosefta Kiddushin,1,Kiddushin,Nashim
