Text 1,Kodshim,Moed,Nashim,Nezikin,Taharot,Zeraim
Berakhot,84,391,145,152,35,738
Shabbat,192,1252,217,235,43,95
Eruvin,89,1497,165,127,62,147
Pesachim,339,736,154,217,37,136
Yoma,248,338,102,126,10,26
Sukkah,164,749,131,136,26,55
Beitzah,54,567,49,56,11,73
Rosh Hashanah,66,186,30,55,3,29
Taanit,17,166,28,52,2,24
Megillah,62,299,60,81,8,39
Moed Katan,23,136,41,40,7,16
Chagigah,47,264,56,37,35,44
Yevamot,146,243,709,217,36,20
Ketubot,105,160,931,385,46,55
Nedarim,46,80,286,98,6,20
Nazir,74,73,247,83,25,8
Sotah,82,113,294,117,11,38
Gittin,101,196,827,311,26,163
Kiddushin,245,180,642,284,28,78
Bava Kamma,172,171,279,1184,22,86
Bava Metzia,115,174,334,979,15,140
Bava Batra,120,197,401,934,32,160
Sanhedrin,163,300,286,606,22,54
Makkot,98,77,87,194,5,22
Shevuot,136,127,126,332,10,10
Avodah Zarah,100,223,98,460,26,155
Horayot,38,61,28,107,5,7
Zevachim,745,276,117,142,13,14
Menachot,1039,404,167,133,31,75
Chullin,824,337,198,221,138,190
Bekhorot,459,144,125,127,62,87
Arakhin,172,124,93,112,12,20
Temurah,250,80,51,104,5,10
Keritot,220,99,68,94,36,6
Meilah,201,35,28,22,6,5
Tamid,22,30,6,1,0,6
Niddah,122,137,105,81,259,28
